country,DietType,score,X,Y
Australia,High_urbanization,1,134.3038291,-25.76418155
Australia,Low_urbanization,2,135.3038291,-25.76418155
Australia,Omnivores,3,136.3038291,-25.76418155
Austria,Omnivores,1,14.11043007,47.59229344
Austria,Vegatarian,2,15.11043007,47.59229344
Belgium,Chow_diet,1,4.645938195,50.63889496
Belgium,High_fat_diet,2,5.645938195,50.63889496
Belgium,Omnivores,3,6.645938195,50.63889496
Canada,Baseline,1,-96.54862673,60.41776698
Canada,Chow_diet,2,-95.54862673,60.41776698
Canada,EEN_diet,3,-94.54862673,60.41776698
Canada,HFHS_diet,4,-93.54862673,60.41776698
Canada,Omnivores,5,-92.54862673,60.41776698
China,Baseline,1,103.3780495,36.69140669
China,Chow_diet,2,104.3780495,36.69140669
China,EEN_diet,3,105.3780495,36.69140669
China,High_fat_diet,4,106.3780495,36.69140669
China,High_fermented_diet,5,107.3780495,36.69140669
China,High_protein_diet,6,108.3780495,36.69140669
China,High_sugar_diet,7,109.3780495,36.69140669
China,WTP_diet,8,110.3780495,36.69140669
China,Omnivores,9,111.3780495,36.69140669
Denmark,Baseline,1,10.04221177,55.97498217
Denmark,Chow_diet,2,11.04221177,55.97498217
Denmark,High_fat_diet,3,12.04221177,55.97498217
Denmark,High_gluten_diet,4,13.04221177,55.97498217
Denmark,Low_gluten_diet,5,14.04221177,55.97498217
Denmark,Whole_grain_diet,6,15.04221177,55.97498217
France,Baseline,1,-6.676141125,42.95514018
France,Low_calorie_diet,2,-5.676141125,42.95514018
Germany,Baseline,1,10.36437159,51.0505772
Germany,Low_calorie_diet,2,11.36437159,51.0505772
Germany,Omnivores,3,12.36437159,51.0505772
Iceland,Omnivores,1,-18.58003366,64.99788413
India,Omnivores,1,79.56391093,22.77664304
India,Vegatarian,2,80.56391093,22.77664304
Italy,Baseline,1,12.2010485,42.71568615
Italy,Control,2,13.2010485,42.71568615
Italy,High_urbanization,3,14.2010485,42.71568615
Italy,Low_calorie_diet,4,15.2010485,42.71568615
Italy,Mediterranean_diet,5,16.2010485,42.71568615
Italy,Omnivores,6,17.2010485,42.71568615
Italy,Vegatarian,7,18.2010485,42.71568615
Japan,Omnivores,1,137.6600063,37.46088048
Netherlands,Baseline,1,4.991548333,52.2269196
Netherlands,Mediterranean_diet,2,5.991548333,52.2269196
Netherlands,Omnivores,3,6.991548333,52.2269196
Netherlands,Vegatarian,4,7.991548333,52.2269196
Peru,Low_urbanization,1,-74.42074159,-9.107149627
Philippines,Omnivores,1,122.9192801,11.72934323
Philippines,Vegatarian,2,123.9192801,11.72934323
Spain,Baseline,1,-3.703536253,40.20765398
Spain,Mediterranean_diet,2,-2.703536253,40.20765398
Sweden,Baseline,1,16.26695018,62.38365607
Sweden,Chow_diet,2,17.26695018,62.38365607
Sweden,Low_carbon_water_diet,3,18.26695018,62.38365607
Tanzania,Low_urbanization,1,34.80181064,-6.26824779
United Kingdom,Baseline,1,-2.758142056,54.01164975
United Kingdom,Control,2,-1.758142056,54.01164975
United Kingdom,Low_fiber_diet,3,-0.758142056,54.01164975
United Kingdom,Omnivores,4,1.758142056,54.01164975
United Kingdom,Vegatarian,5,2.758142056,54.01164975
United States,Baseline,1,-103.6295628,44.74373159
United States,Chow_diet,2,-102.6295628,44.74373159
United States,EEN_diet,3,-101.6295628,44.74373159
United States,Formula,4,-100.6295628,44.74373159
United States,Habitual,5,-99.6295628,44.74373159
United States,HFHS_diet,6,-98.6295628,44.74373159
United States,High_fat_diet,7,-97.6295628,44.74373159
United States,High_fermented_diet,8,-96.6295628,44.74373159
United States,High_fiber_diet,9,-95.6295628,44.74373159
United States,High_urbanization,10,-94.6295628,44.74373159
United States,Low_fiber_diet,11,-93.6295628,44.74373159
United States,MRE,12,-92.6295628,44.74373159
United States,Omnivores,13,-91.6295628,44.74373159
United States,Vegatarian,14,-90.6295628,44.74373159
